Format2,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Physical,"$1,174,013,153 ","$1,280,647,364 ","$1,391,301,519 ","$1,592,009,621 ","$2,041,419,599 ","$2,402,656,431 ","$2,126,924,084 ","$2,140,744,604 ","$2,308,738,277 ","$2,094,616,104 ","$2,167,527,425 ","$2,460,675,042 ","$2,467,092,087 ","$2,615,449,836 ","$3,125,558,104 ","$3,499,359,125 ","$3,677,259,990 ","$4,218,291,469 ","$4,392,356,445 ","$5,066,800,551 ","$5,657,034,895 ","$6,810,085,549 ","$6,965,544,754 ","$7,091,101,555 ","$6,924,658,800 ","$7,780,094,293 ","$8,285,062,139 ","$8,154,130,246 ","$7,835,071,652 ","$7,200,820,995 ","$6,769,517,443 ","$6,949,199,592 ","$6,401,844,631 ","$5,642,679,417 ","$4,568,161,222 ","$3,298,684,326 ","$2,633,383,086 ","$2,098,057,494 ","$1,937,080,176 ","$1,590,439,172 ","$1,438,791,117 ","$1,225,279,283 ","$1,097,586,085 ","$896,268,905 ","$846,113,373 ","$660,808,082 ","$693,829,400 ","$722,404,259 ","$1,036,170,454 ","$1,085,941,621 ","$1,266,460,636 ","$1,315,516,951 ","$1,381,026,262 "
Digital Downloads,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$133,337,023 ","$578,815,658 ","$1,027,588,349 ","$1,502,193,335 ","$1,731,591,940 ","$1,774,408,508 ","$1,853,443,634 ","$2,037,547,503 ","$2,147,998,934 ","$2,105,049,811 ","$1,851,717,614 ","$1,647,848,913 ","$1,291,318,338 ","$954,102,596 ","$735,266,812 ","$572,592,377 ","$484,130,150 ","$449,997,353 ","$352,296,807 ","$312,244,466 ","$274,764,527 ","$272,648,523 "
Streaming,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,900,000 ","$94,999,999 ","$135,899,999 ","$153,199,999 ","$210,699,999 ","$258,599,999 ","$355,399,999 ","$529,699,998 ","$832,876,672 ","$1,132,935,691 ","$1,480,842,216 ","$1,810,780,082 ","$2,787,663,789 ","$3,661,873,492 ","$4,868,112,291 ","$5,820,657,310 ","$6,581,439,398 ","$8,044,722,738 ","$8,478,373,051 ","$9,002,968,376 ","$9,185,198,063 ","$9,474,510,633 "
Synchronization,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$201,200,000 ","$188,700,000 ","$196,500,000 ","$190,597,753 ","$189,679,434 ","$189,713,099 ","$202,934,888 ","$214,838,977 ","$232,086,523 ","$285,513,491 ","$281,112,736 ","$265,236,067 ","$306,526,161 ","$382,500,721 ","$402,460,346 ","$412,632,726 ","$407,112,273 "
